sample,timestamp_us,raw,voltage_V
0,222,13392,1.674000
1,539,13600,1.700000
2,856,13408,1.676000
3,1173,13344,1.668000
4,1489,13424,1.678000
5,1807,13376,1.672000
6,2124,13360,1.670000
7,2440,13424,1.678000
8,2758,13392,1.674000
9,3074,13424,1.678000
10,3391,13456,1.682000
11,3708,13584,1.698000
12,4025,13568,1.696000
13,4342,13616,1.702000
14,4658,13616,1.702000
15,4976,13552,1.694000
16,5292,13536,1.692000
17,5609,13584,1.698000
18,5926,13504,1.688000
19,6243,13488,1.686000
20,6560,13472,1.684000
21,6877,13440,1.680000
22,7193,13424,1.678000
23,7510,13472,1.684000
24,7827,13376,1.672000
25,8144,13392,1.674000
26,8461,13424,1.678000
27,8777,13392,1.674000
28,9094,13376,1.672000
29,9411,13392,1.674000
30,9728,13440,1.680000
31,10045,13440,1.680000
32,10362,13424,1.678000
33,10679,13408,1.676000
34,10996,13392,1.674000
35,11313,13376,1.672000
36,11629,13376,1.672000
37,11946,13168,1.646000
38,12263,13424,1.678000
39,12580,13280,1.660000
40,12897,13200,1.650000
41,13214,13216,1.652000
42,13530,13216,1.652000
43,13847,13248,1.656000
44,14165,13120,1.640000
45,14481,13344,1.668000
46,14798,13312,1.664000
47,15115,13360,1.670000
48,15432,13360,1.670000
49,15749,13376,1.672000
50,16065,13440,1.680000
51,16382,13344,1.668000
52,16699,13408,1.676000
53,17016,13488,1.686000
54,17333,13408,1.676000
55,17650,13408,1.676000
56,17966,13424,1.678000
57,18283,13472,1.684000
58,18600,13440,1.680000
59,18917,13216,1.652000
60,19234,13392,1.674000
61,19551,13376,1.672000
62,19867,13424,1.678000
63,20184,13520,1.690000
64,20502,13664,1.708000
65,20818,13552,1.694000
66,21135,13392,1.674000
67,21452,13584,1.698000
68,21769,13600,1.700000
69,22086,13520,1.690000
70,22403,13520,1.690000
71,22719,13520,1.690000
72,23036,13472,1.684000
73,23353,13488,1.686000
74,23670,13392,1.674000
75,23987,13408,1.676000
76,24304,13376,1.672000
77,24621,13392,1.674000
78,24937,13392,1.674000
79,25254,13600,1.700000
80,25571,13424,1.678000
81,25888,13440,1.680000
82,26205,13424,1.678000
83,26521,13392,1.674000
84,26839,13376,1.672000
85,27156,13344,1.668000
86,27472,13408,1.676000
87,27789,13392,1.674000
88,28106,13360,1.670000
89,28423,13280,1.660000
90,28740,13264,1.658000
91,29057,13216,1.652000
92,29373,13264,1.658000
93,29690,13216,1.652000
94,30007,13264,1.658000
95,30324,13280,1.660000
96,30641,13264,1.658000
97,30958,13328,1.666000
98,31275,13280,1.660000
99,31591,13408,1.676000
100,31909,13312,1.664000
101,32225,13408,1.676000
102,32542,13424,1.678000
103,32858,13424,1.678000
104,33176,13392,1.674000
105,33493,13408,1.676000
106,33810,13392,1.674000
107,34126,13440,1.680000
108,34444,13440,1.680000
109,34760,13344,1.668000
110,35077,13488,1.686000
111,35394,13376,1.672000
112,35711,13392,1.674000
113,36027,13376,1.672000
114,36345,13408,1.676000
115,36661,13424,1.678000
116,36978,13568,1.696000
117,37295,13552,1.694000
118,37612,13600,1.700000
119,37929,13552,1.694000
120,38246,13568,1.696000
121,38563,13568,1.696000
122,38879,13488,1.686000
123,39196,13504,1.688000
124,39513,13488,1.686000
125,39830,13488,1.686000
126,40147,13456,1.682000
127,40464,13440,1.680000
128,40781,13456,1.682000
129,41097,13392,1.674000
130,41414,13392,1.674000
131,41731,13408,1.676000
132,42047,13376,1.672000
133,42365,13360,1.670000
134,42685,13392,1.674000
135,42999,13440,1.680000
136,43315,13424,1.678000
137,43632,13312,1.664000
138,43949,13376,1.672000
139,44265,13440,1.680000
140,44583,13424,1.678000
141,44900,13360,1.670000
142,45217,13184,1.648000
143,45533,13216,1.652000
144,45850,13248,1.656000
145,46167,13184,1.648000
146,46483,13264,1.658000
147,46801,13264,1.658000
148,47117,13344,1.668000
149,47435,13328,1.666000
150,47752,13344,1.668000
151,48068,13280,1.660000
152,48385,13344,1.668000
153,48702,13360,1.670000
154,49019,13408,1.676000
155,49336,13376,1.672000
156,49652,13312,1.664000
157,49970,13360,1.670000
158,50286,13408,1.676000
159,50603,13424,1.678000
160,50920,13456,1.682000
161,51237,13392,1.674000
162,51553,13392,1.674000
163,51871,13424,1.678000
164,52188,13424,1.678000
165,52504,13376,1.672000
166,52821,13376,1.672000
167,53138,13360,1.670000
168,53455,13504,1.688000
169,53772,13632,1.704000
170,54088,13584,1.698000
171,54406,13584,1.698000
172,54722,13568,1.696000
173,55039,13600,1.700000
174,55356,13600,1.700000
175,55673,13552,1.694000
176,55990,13536,1.692000
177,56306,13488,1.686000
178,56624,13472,1.684000
179,56940,13472,1.684000
180,57257,13440,1.680000
181,57574,13408,1.676000
182,57891,13360,1.670000
183,58208,13424,1.678000
184,58524,13488,1.686000
185,58842,13424,1.678000
186,59158,13456,1.682000
187,59475,13360,1.670000
188,59792,13296,1.662000
189,60109,13392,1.674000
190,60426,13456,1.682000
191,60743,13392,1.674000
192,61059,13472,1.684000
193,61376,13376,1.672000
194,61693,13376,1.672000
195,62010,13184,1.648000
196,62327,13200,1.650000
197,62644,13264,1.658000
198,62961,13296,1.662000
199,63278,13248,1.656000
200,63594,13280,1.660000
201,63911,13248,1.656000
202,64228,13280,1.660000
203,64545,13344,1.668000
204,64862,13312,1.664000
205,65179,13424,1.678000
206,65496,13392,1.674000
207,65812,13424,1.678000
208,66129,13440,1.680000
209,66446,13408,1.676000
210,66763,13408,1.676000
211,67080,13376,1.672000
212,67397,13360,1.670000
