sample,timestamp_us,raw,voltage_V
0,286,14976,1.872000
1,603,14816,1.852000
2,920,14720,1.840000
3,1237,14496,1.812000
4,1554,14176,1.772000
5,1871,14144,1.768000
6,2188,13968,1.746000
7,2504,13664,1.708000
8,2821,13472,1.684000
9,3137,13424,1.678000
10,3455,13376,1.672000
11,3772,13392,1.674000
12,4089,13408,1.676000
13,4405,13360,1.670000
14,4722,13424,1.678000
15,5039,13376,1.672000
16,5356,13408,1.676000
17,5673,13408,1.676000
18,5990,13376,1.672000
19,6307,13312,1.664000
20,6623,13360,1.670000
21,6941,13408,1.676000
22,7258,11520,1.440000
23,7574,11568,1.446000
24,7890,11616,1.452000
25,8208,11696,1.462000
26,8525,11744,1.468000
27,8841,11936,1.492000
28,9159,12016,1.502000
29,9475,12240,1.530000
30,9792,12448,1.556000
31,10108,12576,1.572000
32,10426,12816,1.602000
33,10742,13008,1.626000
34,11060,13296,1.662000
35,11376,13392,1.674000
36,11693,13392,1.674000
37,12010,13408,1.676000
38,12327,13376,1.672000
39,12644,13376,1.672000
40,12961,13376,1.672000
41,13278,13440,1.680000
42,13594,13424,1.678000
43,13911,13392,1.674000
44,14228,13424,1.678000
45,14545,13440,1.680000
46,14862,13376,1.672000
47,15179,13376,1.672000
48,15496,14704,1.838000
49,15812,15248,1.906000
50,16129,15200,1.900000
51,16447,15136,1.892000
52,16763,15040,1.880000
53,17080,14928,1.866000
54,17396,14752,1.844000
55,17713,14544,1.818000
56,18030,14480,1.810000
57,18348,14256,1.782000
58,18664,14048,1.756000
59,18981,13872,1.734000
60,19298,13584,1.698000
61,19615,13472,1.684000
62,19932,13440,1.680000
63,20249,13424,1.678000
64,20565,13392,1.674000
65,20882,13424,1.678000
66,21199,13472,1.684000
67,21516,13360,1.670000
68,21833,13440,1.680000
69,22149,13392,1.674000
70,22466,13360,1.670000
71,22783,13392,1.674000
72,23100,13392,1.674000
73,23417,13408,1.676000
74,23734,12432,1.554000
75,24051,11456,1.432000
76,24367,11536,1.442000
77,24687,11664,1.458000
78,25001,11744,1.468000
79,25318,11856,1.482000
80,25635,12000,1.500000
81,25951,12048,1.506000
82,26269,12272,1.534000
83,26586,12512,1.564000
84,26903,12640,1.580000
85,27220,12912,1.614000
86,27536,13152,1.644000
87,27853,13344,1.668000
88,28170,13440,1.680000
89,28487,13376,1.672000
90,28804,13408,1.676000
91,29121,13408,1.676000
92,29437,13440,1.680000
93,29754,13408,1.676000
94,30071,13392,1.674000
95,30388,13408,1.676000
96,30704,13328,1.666000
97,31022,13408,1.676000
98,31339,13392,1.674000
99,31655,13424,1.678000
100,31972,13360,1.670000
101,32290,15216,1.902000
102,32606,15280,1.910000
103,32923,15200,1.900000
104,33240,15088,1.886000
105,33556,15008,1.876000
106,33874,14832,1.854000
107,34191,14704,1.838000
108,34507,14592,1.824000
109,34824,14368,1.796000
110,35140,14176,1.772000
111,35458,13968,1.746000
112,35774,13712,1.714000
113,36092,13584,1.698000
114,36408,13360,1.670000
115,36725,13392,1.674000
116,37042,13408,1.676000
117,37359,13456,1.682000
118,37676,13376,1.672000
119,37993,13408,1.676000
