sample,timestamp_us,raw,voltage_V
0,933,13423,1.677875
1,2126,13426,1.678250
2,3320,13404,1.675500
3,4514,13393,1.674125
4,5707,13405,1.675625
5,6901,13378,1.672250
6,8095,13413,1.676625
7,9289,13417,1.677125
8,10483,13412,1.676500
9,11679,13438,1.679750
10,12870,13428,1.678500
11,14064,13407,1.675875
12,15259,13433,1.679125
13,16452,13419,1.677375
14,17646,13439,1.679875
15,18840,13407,1.675875
16,20033,13413,1.676625
17,21227,13419,1.677375
18,22421,13422,1.677750
19,23614,13417,1.677125
20,24809,13414,1.676750
21,26003,13405,1.675625
22,27196,13430,1.678750
23,28391,13427,1.678375
24,29584,13411,1.676375
25,30778,13439,1.679875
26,31972,13423,1.677875
27,33165,13432,1.679000
28,34359,13420,1.677500
29,35553,13428,1.678500
30,36747,13403,1.675375
31,37941,13437,1.679625
32,39134,13407,1.675875
33,40329,13385,1.673125
34,41522,13405,1.675625
35,42716,13413,1.676625
36,43910,13430,1.678750
37,45103,13427,1.678375
38,46297,13435,1.679375
39,47491,13431,1.678875
40,48685,13435,1.679375
41,49879,13436,1.679500
42,51072,13411,1.676375
43,52266,13429,1.678625
44,53460,13397,1.674625
45,54654,13413,1.676625
46,55848,13441,1.680125
47,57042,13420,1.677500
48,58236,13415,1.676875
49,59430,13426,1.678250
50,60623,13405,1.675625
51,61817,13406,1.675750
52,63011,13431,1.678875
53,64205,13424,1.678000
54,65398,13410,1.676250
55,66591,13420,1.677500
56,67786,13437,1.679625
57,68980,13407,1.675875
58,70173,13420,1.677500
59,71367,13405,1.675625
60,72561,13409,1.676125
61,73755,13431,1.678875
62,74949,13389,1.673625
63,76143,13425,1.678125
64,77337,13408,1.676000
65,78530,13429,1.678625
66,79724,13402,1.675250
67,80918,13441,1.680125
68,82112,13433,1.679125
69,83305,13422,1.677750
70,84500,13411,1.676375
71,85693,13400,1.675000
72,86887,13383,1.672875
73,88081,13403,1.675375
74,89274,13413,1.676625
75,90468,13405,1.675625
76,91663,13411,1.676375
77,92856,13403,1.675375
78,94050,13422,1.677750
79,95243,13413,1.676625
80,96437,13416,1.677000
81,97631,13426,1.678250
82,98824,13416,1.677000
83,100019,13405,1.675625
84,101213,13423,1.677875
85,102406,13418,1.677250
86,103600,13410,1.676250
87,104794,13412,1.676500
88,105988,13400,1.675000
89,107182,13394,1.674250
90,108376,13411,1.676375
91,109569,13401,1.675125
92,110763,13426,1.678250
93,111956,13421,1.677625
94,113150,13429,1.678625
95,114344,13427,1.678375
96,115538,13419,1.677375
97,116732,13423,1.677875
98,117926,13404,1.675500
99,119119,13414,1.676750
100,120313,13419,1.677375
101,121507,13415,1.676875
102,122701,13427,1.678375
103,123894,13411,1.676375
104,125088,13418,1.677250
105,126282,13419,1.677375
106,127476,13403,1.675375
107,128670,13399,1.674875
108,129864,13419,1.677375
109,131058,13427,1.678375
110,132252,13441,1.680125
111,133446,13426,1.678250
112,134639,13435,1.679375
113,135833,13411,1.676375
114,137027,13424,1.678000
115,138221,13412,1.676500
116,139415,13403,1.675375
117,140608,13398,1.674750
118,141802,13410,1.676250
119,142996,13411,1.676375
120,144190,13404,1.675500
121,145384,13403,1.675375
122,146578,13424,1.678000
123,147772,13428,1.678500
124,148965,13420,1.677500
125,150159,13413,1.676625
126,151353,13416,1.677000
127,152547,13426,1.678250
128,153740,13397,1.674625
129,154934,13411,1.676375
130,156128,13401,1.675125
131,157321,13406,1.675750
132,158516,13407,1.675875
133,159710,13412,1.676500
134,160904,13429,1.678625
135,162097,13428,1.678500
136,163291,13419,1.677375
137,164485,13429,1.678625
138,165679,13434,1.679250
139,166873,13421,1.677625
140,168066,13420,1.677500
141,169260,13414,1.676750
142,170453,13424,1.678000
143,171648,13406,1.675750
144,172842,13410,1.676250
145,174036,13391,1.673875
146,175230,13419,1.677375
147,176424,13408,1.676000
148,177617,13433,1.679125
149,178811,13422,1.677750
150,180005,13443,1.680375
151,181198,13427,1.678375
152,182392,13422,1.677750
