sample,timestamp_us,raw,voltage_V
0,76,13402,1.675250
1,1270,13386,1.673250
2,2464,13401,1.675125
3,3658,13418,1.677250
4,4851,13400,1.675000
5,6045,13376,1.672000
6,7239,13365,1.670625
7,8433,13378,1.672250
8,9627,13392,1.674000
9,10820,13342,1.667750
10,12014,13375,1.671875
11,13208,13378,1.672250
12,14402,13375,1.671875
13,15596,13376,1.672000
14,16789,13397,1.674625
15,17983,13415,1.676875
16,19177,13406,1.675750
17,20371,13414,1.676750
18,21565,13400,1.675000
19,22758,13415,1.676875
20,23952,13385,1.673125
21,25146,13357,1.669625
22,26340,13368,1.671000
23,27534,13349,1.668625
24,28728,13352,1.669000
25,29921,13398,1.674750
26,31115,13378,1.672250
27,32309,13362,1.670250
28,33503,13413,1.676625
29,34697,13401,1.675125
30,35890,13401,1.675125
31,37084,13384,1.673000
32,38278,13379,1.672375
33,39472,13395,1.674375
34,40666,13358,1.669750
35,41860,13395,1.674375
36,43053,13379,1.672375
37,44247,13375,1.671875
38,45441,13336,1.667000
39,46634,13379,1.672375
40,47828,13379,1.672375
41,49022,13398,1.674750
42,50216,13383,1.672875
43,51410,13410,1.676250
44,52603,13410,1.676250
45,53797,13396,1.674500
46,54992,13379,1.672375
47,56185,13422,1.677750
48,57379,13367,1.670875
49,58573,13394,1.674250
50,59766,13352,1.669000
51,60960,13373,1.671625
52,62154,13369,1.671125
53,63348,13354,1.669250
54,64541,13389,1.673625
55,65735,13386,1.673250
56,66929,13404,1.675500
57,68123,13418,1.677250
58,69317,13399,1.674875
59,70511,13416,1.677000
60,71704,13381,1.672625
61,72898,13402,1.675250
62,74093,13374,1.671750
63,75286,13394,1.674250
64,76480,13371,1.671375
65,77674,13360,1.670000
66,78867,13375,1.671875
67,80061,13380,1.672500
68,81255,13397,1.674625
69,82449,13400,1.675000
70,83642,13394,1.674250
71,84836,13391,1.673875
72,86030,13402,1.675250
73,87224,13414,1.676750
74,88418,13402,1.675250
75,89611,13408,1.676000
76,90805,13351,1.668875
77,91999,13382,1.672750
78,93193,13360,1.670000
79,94387,13376,1.672000
80,95581,13347,1.668375
81,96774,13400,1.675000
82,97968,13374,1.671750
83,99162,13382,1.672750
84,100356,13390,1.673750
85,101550,13400,1.675000
86,102743,13417,1.677125
87,103937,13396,1.674500
88,105132,13403,1.675375
89,106325,13383,1.672875
90,107519,13399,1.674875
91,108713,13373,1.671625
92,109906,13397,1.674625
93,111100,13358,1.669750
94,112294,13356,1.669500
95,113488,13366,1.670750
96,114684,13381,1.672625
97,115876,13392,1.674000
98,117069,13407,1.675875
99,118263,13415,1.676875
100,119457,13363,1.670375
101,120651,13408,1.676000
102,121845,13379,1.672375
103,123038,13402,1.675250
104,124232,13409,1.676125
105,125425,13374,1.671750
106,126620,13380,1.672500
107,127813,13349,1.668625
108,129007,13387,1.673375
109,130201,13352,1.669000
110,131395,13388,1.673500
111,132589,13413,1.676625
112,133783,13398,1.674750
113,134977,13421,1.677625
114,136170,13413,1.676625
115,137364,13419,1.677375
116,138558,13413,1.676625
117,139752,13379,1.672375
118,140946,13422,1.677750
119,142139,13373,1.671625
120,143333,13378,1.672250
121,144526,13350,1.668750
122,145721,13366,1.670750
123,146915,13399,1.674875
124,148108,13387,1.673375
125,149301,13395,1.674375
