sample,timestamp_us,raw,voltage_V
0,241,13456,1.682000
1,559,13392,1.674000
2,875,13472,1.684000
3,1192,13440,1.680000
4,1509,13408,1.676000
5,1826,13472,1.684000
6,2143,13424,1.678000
7,2460,13456,1.682000
8,2776,13504,1.688000
9,3094,13456,1.682000
10,3410,13440,1.680000
11,3727,13472,1.684000
12,4044,13488,1.686000
13,4361,13440,1.680000
14,4678,13456,1.682000
15,4995,13504,1.688000
16,5312,13408,1.676000
17,5628,13360,1.670000
18,5945,13392,1.674000
19,6262,13344,1.668000
20,6579,13392,1.674000
21,6896,13312,1.664000
22,7213,13360,1.670000
23,7529,13376,1.672000
24,7846,13344,1.668000
25,8163,13392,1.674000
26,8480,13344,1.668000
27,8796,13344,1.668000
28,9114,13360,1.670000
29,9431,13312,1.664000
30,9748,13312,1.664000
31,10064,13376,1.672000
32,10381,13328,1.666000
33,10698,13360,1.670000
34,11015,13344,1.668000
35,11332,13344,1.668000
36,11648,13344,1.668000
37,11966,13392,1.674000
38,12282,13376,1.672000
39,12599,13344,1.668000
40,12916,13392,1.674000
41,13233,13376,1.672000
42,13550,13344,1.668000
43,13866,13472,1.684000
44,14183,13472,1.684000
45,14500,13456,1.682000
46,14817,13456,1.682000
47,15134,13440,1.680000
48,15451,13440,1.680000
49,15768,13456,1.682000
50,16084,13424,1.678000
51,16402,13456,1.682000
52,16718,13472,1.684000
53,17035,13472,1.684000
54,17352,13440,1.680000
55,17669,13408,1.676000
56,17986,13424,1.678000
57,18303,13248,1.656000
58,18619,13440,1.680000
59,18937,13408,1.676000
60,19253,13408,1.676000
61,19570,13456,1.682000
62,19887,13424,1.678000
63,20204,13424,1.678000
64,20521,13472,1.684000
65,20838,13424,1.678000
66,21154,13392,1.674000
67,21471,13456,1.682000
68,21788,13440,1.680000
69,22105,13424,1.678000
70,22422,13344,1.668000
71,22738,13312,1.664000
72,23056,13392,1.674000
73,23372,13408,1.676000
74,23689,13376,1.672000
75,24006,13360,1.670000
76,24323,13392,1.674000
77,24640,13344,1.668000
78,24956,13392,1.674000
79,25274,13344,1.668000
80,25590,13344,1.668000
81,25907,13344,1.668000
82,26224,13360,1.670000
83,26541,13360,1.670000
84,26857,13392,1.674000
85,27175,13392,1.674000
86,27492,13392,1.674000
87,27808,13360,1.670000
88,28126,13328,1.666000
89,28442,13440,1.680000
90,28759,13312,1.664000
91,29076,13408,1.676000
92,29392,13392,1.674000
93,29710,13408,1.676000
94,30026,13328,1.666000
95,30343,13360,1.670000
96,30660,13440,1.680000
97,30976,13456,1.682000
98,31293,13408,1.676000
99,31611,13440,1.680000
100,31927,13664,1.708000
101,32245,13424,1.678000
102,32561,13488,1.686000
103,32879,13408,1.676000
104,33195,13488,1.686000
105,33512,13424,1.678000
106,33829,13456,1.682000
107,34145,13680,1.710000
108,34462,13472,1.684000
109,34779,13440,1.680000
110,35096,13440,1.680000
111,35413,13456,1.682000
112,35729,13472,1.684000
113,36047,13504,1.688000
114,36364,13424,1.678000
115,36685,13504,1.688000
116,36998,13408,1.676000
117,37314,13440,1.680000
118,37631,13456,1.682000
119,37948,13456,1.682000
120,38265,13424,1.678000
121,38581,13472,1.684000
122,38898,13360,1.670000
123,39216,13408,1.676000
124,39532,13360,1.670000
125,39849,13360,1.670000
126,40166,13440,1.680000
127,40483,13408,1.676000
128,40800,13216,1.652000
129,41117,13360,1.670000
130,41433,13392,1.674000
131,41750,13328,1.666000
132,42067,13392,1.674000
133,42384,13392,1.674000
134,42701,13392,1.674000
135,43018,13360,1.670000
136,43335,13392,1.674000
137,43651,13392,1.674000
138,43969,13408,1.676000
139,44285,13392,1.674000
140,44602,13360,1.670000
141,44919,13456,1.682000
142,45236,13344,1.668000
143,45552,13376,1.672000
144,45870,13344,1.668000
145,46187,13408,1.676000
146,46503,13328,1.666000
147,46820,13376,1.672000
148,47136,13424,1.678000
149,47454,13424,1.678000
150,47771,13472,1.684000
151,48087,13424,1.678000
152,48404,13424,1.678000
153,48721,13456,1.682000
154,49038,13424,1.678000
155,49355,13440,1.680000
