sample,timestamp_us,raw,voltage_V
0,260,13360,1.670000
1,576,13376,1.672000
2,893,13408,1.676000
3,1210,13408,1.676000
4,1526,13264,1.658000
5,1844,13328,1.666000
6,2160,13360,1.670000
7,2477,13280,1.660000
8,2794,13280,1.660000
9,3111,13232,1.654000
10,3427,13280,1.660000
11,3745,13280,1.660000
12,4061,13248,1.656000
13,4379,13168,1.646000
14,4696,13264,1.658000
15,5012,13264,1.658000
16,5329,13248,1.656000
17,5646,13248,1.656000
18,5963,13296,1.662000
19,6280,13328,1.666000
20,6596,13264,1.658000
21,6914,13344,1.668000
22,7231,13360,1.670000
23,7547,13408,1.676000
24,7864,13360,1.670000
25,8181,13376,1.672000
26,8497,13408,1.676000
27,8815,13440,1.680000
28,9131,13472,1.684000
29,9448,13424,1.678000
30,9766,13456,1.682000
31,10082,13488,1.686000
32,10399,13520,1.690000
33,10716,13504,1.688000
34,11032,13504,1.688000
35,11349,13552,1.694000
36,11667,13568,1.696000
37,11983,13600,1.700000
38,12300,13600,1.700000
39,12617,13584,1.698000
40,12934,13616,1.702000
41,13251,13616,1.702000
42,13567,13632,1.704000
43,13885,13568,1.696000
44,14201,13520,1.690000
45,14518,13584,1.698000
46,14835,13536,1.692000
47,15152,13536,1.692000
48,15468,13408,1.676000
49,15786,13424,1.678000
50,16102,13424,1.678000
51,16419,13488,1.686000
52,16736,13424,1.678000
53,17053,13424,1.678000
54,17370,13392,1.674000
55,17686,13392,1.674000
56,18004,13360,1.670000
57,18321,13360,1.670000
58,18637,13312,1.664000
59,18954,13264,1.658000
60,19271,13216,1.652000
61,19588,13280,1.660000
62,19904,13280,1.660000
63,20222,13248,1.656000
64,20538,13248,1.656000
65,20855,13248,1.656000
66,21172,13216,1.652000
67,21489,13184,1.648000
68,21806,13280,1.660000
69,22123,13264,1.658000
70,22439,13232,1.654000
71,22756,13280,1.660000
72,23073,13232,1.654000
73,23390,13312,1.664000
74,23707,13344,1.668000
75,24024,13280,1.660000
76,24341,13328,1.666000
77,24658,13328,1.666000
78,24974,13408,1.676000
79,25291,13392,1.674000
80,25608,13424,1.678000
81,25925,13408,1.676000
82,26242,13424,1.678000
83,26559,13440,1.680000
84,26875,13456,1.682000
85,27192,13504,1.688000
86,27509,13456,1.682000
87,27826,13520,1.690000
88,28143,13568,1.696000
89,28460,13616,1.702000
90,28777,13616,1.702000
91,29094,13568,1.696000
92,29410,13568,1.696000
93,29727,13552,1.694000
94,30044,13600,1.700000
95,30361,13568,1.696000
96,30678,13568,1.696000
97,30995,13536,1.692000
98,31312,13520,1.690000
99,31628,13488,1.686000
100,31945,13488,1.686000
101,32262,13472,1.684000
102,32579,13408,1.676000
103,32896,13504,1.688000
104,33213,13392,1.674000
105,33529,13408,1.676000
106,33846,13376,1.672000
107,34163,13392,1.674000
108,34480,13376,1.672000
109,34797,13376,1.672000
110,35114,13328,1.666000
111,35431,13312,1.664000
112,35748,13328,1.666000
113,36064,13248,1.656000
